graph_name,vertex_count,edge_probability,num_3_cycles,num_4_cycles,total_cycles,h2_dimension,h2_agreement,cubical_time_sec,basic_time_sec,ratio_cubical_over_basic,fastest_method
erdos_renyi_113_0.04736164628161427,113,0.04736164628161427,24,92,116,0,agree,2.587096929550171,0.051651,50.0880,basic
erdos_renyi_113_0.0493867567387572,113,0.0493867567387572,24,90,114,0,agree,3.064359188079834,0.054824,55.8945,basic
erdos_renyi_113_0.05667858411293731,113,0.05667858411293731,46,173,219,0,agree,5.683077812194824,0.107575,52.8290,basic
erdos_renyi_113_0.06747256142796515,113,0.06747256142796515,50,293,343,1,agree,8.23375916481018,0.136285,60.4157,basic
erdos_renyi_114_0.03254141996845973,114,0.03254141996845973,11,21,32,0,agree,1.58840012550354,0.034573,45.9434,basic
erdos_renyi_114_0.05775513469174201,114,0.05775513469174201,43,246,289,3,agree,6.654639959335327,0.107964,61.6376,basic
erdos_renyi_115_0.049970050795731524,115,0.049970050795731524,35,155,190,0,agree,4.656246185302734,0.084962,54.8039,basic
erdos_renyi_115_0.060359552100044164,115,0.060359552100044164,65,275,340,1,agree,7.503874063491821,0.144644,51.8782,basic
erdos_renyi_115_0.06773486774540935,115,0.06773486774540935,54,346,400,14,agree,9.720843076705933,0.19325,50.3019,basic
erdos_renyi_116_0.03923360946973366,116,0.03923360946973366,15,45,60,0,agree,2.087034940719604,0.087108,23.9592,basic
erdos_renyi_116_0.04654145140038256,116,0.04654145140038256,20,92,112,0,agree,2.904668092727661,0.054604,53.1952,basic
erdos_renyi_116_0.05668043077911815,116,0.05668043077911815,68,314,382,6,agree,9.520056009292603,0.185795,51.2396,basic
erdos_renyi_117_0.038691303450890786,117,0.038691303450890786,13,48,61,0,agree,1.853178977966308,0.029506,62.8069,basic
erdos_renyi_118_0.03806747283782963,118,0.03806747283782963,17,56,73,0,agree,2.349977016448974,0.05032,46.7007,basic
erdos_renyi_118_0.05586026685391181,118,0.05586026685391181,39,172,211,0,agree,5.271035194396973,0.116851,45.1090,basic
erdos_renyi_120_0.038303474263385276,120,0.038303474263385276,14,56,70,0,agree,2.114850997924805,0.040973,51.6157,basic
erdos_renyi_120_0.05512828030209997,120,0.05512828030209997,60,276,336,0,agree,7.948925018310547,0.264142,30.0934,basic
erdos_renyi_120_0.0552530128454876,120,0.0552530128454876,57,257,314,4,agree,8.598340034484863,0.124433,69.1002,basic
erdos_renyi_121_0.03129568737588382,121,0.03129568737588382,5,17,22,0,agree,0.899009227752686,0.016831,53.4139,basic
erdos_renyi_123_0.03852021373937346,123,0.03852021373937346,8,59,67,0,agree,1.912649869918823,0.0543,35.2238,basic
erdos_renyi_123_0.05823220314345823,123,0.05823220314345823,55,365,420,13,agree,11.527713060379028,0.172263,66.9193,basic
erdos_renyi_126_0.06084654028451745,126,0.06084654028451745,60,414,474,11,agree,12.577932119369507,0.272848,46.0987,basic
erdos_renyi_127_0.030431205175967885,127,0.030431205175967885,6,34,40,0,agree,1.603135108947754,0.029279,54.7538,basic
erdos_renyi_127_0.04236134979039109,127,0.04236134979039109,23,84,107,0,agree,3.556022882461548,0.146015,24.3538,basic
erdos_renyi_127_0.05584633174039236,127,0.05584633174039236,78,426,504,15,agree,12.738892078399658,0.254898,49.9764,basic
erdos_renyi_127_0.06832752052349017,127,0.06832752052349017,132,829,961,88,agree,24.796437978744507,0.667552,37.1453,basic
erdos_renyi_128_0.0391340968144952,128,0.0391340968144952,22,83,105,0,agree,3.284916877746582,0.072001,45.6232,basic
erdos_renyi_128_0.06885811236525224,128,0.06885811236525224,113,833,946,72,agree,27.590615034103394,0.585179,47.1490,basic
